address,lat,lon,number
839 Alhambra Ct,39.0692344,-84.5315529,1
1022 Altavia Ave,39.0688576,-84.5373911,2
1115 Audubon Rd,39.0722297,-84.5341077,3
1129 Audubon Rd,39.0721083,-84.535378,4
1000 Cleveland Ave,39.0729082,-84.5322513,5
1117 Cleveland Ave,39.0737053,-84.5338197,6
1128 Coram St,39.0712778,-84.5304968,7
1145 Coram St,39.0705615,-84.5310686,8
1058 Emerson Rd,39.0775709,-84.5320216,9
1130 Exter Dr,39.0677462,-84.5271337,10
1048 Lawton Rd,39.0698735,-84.5369714,11
1050 Lawton Rd,39.0699794,-84.5373108,12
1322 Old State Rd,39.067632,-84.5349845,13
1401 Old State Rd,39.066728,-84.5356502,14
1406 Old State Rd,39.0669318,-84.5360231,15
1002 Park Dr,39.0721516,-84.5316564,16
1010 Park Dr,39.0725932,-84.5319745,17
1032 Rose Cir,39.0735662,-84.5308201,18
609 St Joseph Ln,39.0636762,-84.5294578,19
516 Scenic Dr,39.0678392,-84.5228128,20
517 Scenic Dr,39.0675121,-84.5232012,21
910 Terrace Dr,39.0697781,-84.5334323,22
908 Terrace Dr,39.0696389,-84.5333346,23
1018 Jackson Rd,39.0741107,-84.5316748,24
1029 Jackson Rd,39.0742409,-84.5306797,25
1053 Jackson Rd,39.0749146,-84.5309223,26
1069 Jackson Rd,39.0746475,-84.5321509,27
815 St. James Ave,39.0646312,-84.5357547,28
